"site_orig","site"
"Cape Perpetua Neptune SP Biotoxins","Cape Perpetua Neptune Sp Biotoxins"
"Cascade Head To Heceta Head- Crab","Cascade Head To Heceta Head- Crab"
"Clatsop Bch-Cannon Beach","Clatsop Bch-Cannon Beach"
"CLATSOP BCH-CANNON BEACH","Clatsop Bch-Cannon Beach"
"Clatsop Beach/Del Ray Biotoxins","Clatsop Beach/Del Ray Biotoxins"
"Clatsop Beach/Del Rey","Clatsop Beach/Del Rey"
"CLATSOP BEACH/DEL REY","Clatsop Beach/Del Rey"
"Clatsop Beach/Gearhart","Clatsop Beach/Gearhart"
"CLATSOP BEACH/GEARHART","Clatsop Beach/Gearhart"
"Clatsop Beach/Gearhart Biotoxins","Clatsop Beach/Gearhart Biotoxins"
"Clatsop Beach/Seaside","Clatsop Beach/Seaside"
"CLATSOP BEACH/SEASIDE","Clatsop Beach/Seaside"
"Clatsop Beach/Seaside Biotoxins","Clatsop Beach/Seaside Biotoxins"
"Clatsop Beach/South Jetty","Clatsop Beach/South Jetty"
"CLATSOP BEACH/SOUTH JETTY","Clatsop Beach/South Jetty"
"Clatsop Beach/South Jetty Biotoxins","Clatsop Beach/South Jetty Biotoxins"
"Clatsop Beach/Sunset","Clatsop Beach/Sunset"
"CLATSOP BEACH/SUNSET","Clatsop Beach/Sunset"
"Clatsop Beach/Sunset Biotoxins","Clatsop Beach/Sunset Biotoxins"
"Clatsop Beaches","Clatsop Beaches"
"CLATSOP BEACHES","Clatsop Beaches"
"Clatsop County Area","Clatsop County Area"
"CLATSOP COUNTY AREA","Clatsop County Area"
"Coos Bay","Coos Bay"
"Coos Bay - Lower","Coos Bay - Lower"
"COOS BAY - LOWER","Coos Bay - Lower"
"Coos Bay - Upper","Coos Bay - Upper"
"COOS BAY - UPPER","Coos Bay - Upper"
"Coos N Jetty & Spit","Coos N Jetty & Spit"
"COOS N JETTY & SPIT","Coos N Jetty & Spit"
"Coos N Jetty Biotoxins","Coos N Jetty Biotoxins"
"Crab Viscera- General History","Crab Viscera- General History"
"Flores Creek","Flores Creek"
"Food Safety Division","Food Safety Division"
"FOOD SAFETY DIVISION","Food Safety Division"
"Garibaldi","Garibaldi"
"Gold Beach - Myers Creek","Gold Beach - Myers Creek"
"GOLD BEACH - MYERS CREEK","Gold Beach - Myers Creek"
"Gold Beach Biotoxins","Gold Beach Biotoxins"
"Harris Beach","Harris Beach"
"HARRIS BEACH","Harris Beach"
"Heceta Head To Cape Blanco- Crab","Heceta Head To Cape Blanco- Crab"
"Lane County - Baker Beach","Lane County - Baker Beach"
"Lane County Area","Lane County Area"
"LANE COUNTY AREA","Lane County Area"
"Lincoln County Area","Lincoln County Area"
"LINCOLN COUNTY AREA","Lincoln County Area"
"N Lincoln County","N Lincoln County"
"N LINCOLN COUNTY","N Lincoln County"
"N Lincoln County Biotoxins","N Lincoln County Biotoxins"
"Nehalem Bay","Nehalem Bay"
"NEHALEM BAY","Nehalem Bay"
"Nehalem Bay - Hanging","Nehalem Bay - Hanging"
"NEHALEM BAY - HANGING","Nehalem Bay - Hanging"
"Netarts Bay","Netarts Bay"
"NETARTS BAY","Netarts Bay"
"Netarts Bay","Netarts Bay"
"NETARTS BAY","Netarts Bay"
"Newport","Newport"
"Newport Agate Beach","Newport Agate Beach"
"NEWPORT AGATE BEACH","Newport Agate Beach"
"Newport Beaches","Newport Beaches"
"NEWPORT BEACHES","Newport Beaches"
"Newport Beaches @ Agate Beach","Newport Beaches @ Agate Beach"
"NEWPORT BEACHES @ AGATE BEACH","Newport Beaches @ Agate Beach"
"Newport Beaches @ Agate Beach Biotoxins","Newport Beaches @ Agate Beach Biotoxins"
"Newport Beaches @ North Jetty","Newport Beaches @ North Jetty"
"NEWPORT BEACHES @ NORTH JETTY","Newport Beaches @ North Jetty"
"Newport Beaches @ North Jetty Biotoxins","Newport Beaches @ North Jetty Biotoxins"
"Newport Beaches @ South Beach","Newport Beaches @ South Beach"
"NEWPORT BEACHES @ SOUTH BEACH","Newport Beaches @ South Beach"
"Newport Beaches @ South Beach Biotoxins","Newport Beaches @ South Beach Biotoxins"
"Newport North Jetty","Newport North Jetty"
"NEWPORT NORTH JETTY","Newport North Jetty"
"No Spit-Umpqua River","No Spit-Umpqua River"
"NO SPIT-UMPQUA RIVER","No Spit-Umpqua River"
"Ona Beach State Park","Ona Beach State Park"
"ONA BEACH STATE PARK","Ona Beach State Park"
"Ona Beach State Park Biotoxins","Ona Beach State Park Biotoxins"
"Or/Wa Border To Cape Falcon- Crab","Or/Wa Border To Cape Falcon- Crab"
"Port Orford","Port Orford"
"Port Orford Hanging Site","Port Orford Hanging Site"
"PORT ORFORD HANGING SITE","Port Orford Hanging Site"
"Seal Rock State Park","Seal Rock State Park"
"SEAL ROCK STATE PARK","Seal Rock State Park"
"Seal Rock State Park Biotoxins","Seal Rock State Park Biotoxins"
"Siletz Bay","Siletz Bay"
"SILETZ BAY","Siletz Bay"
"Siletz Bay Biotoxins","Siletz Bay Biotoxins"
"Silver Point","Silver Point"
"SILVER POINT","Silver Point"
"Siuslaw Bay","Siuslaw Bay"
"SIUSLAW BAY","Siuslaw Bay"
"Siuslaw Bay Biotoxins","Siuslaw Bay Biotoxins"
"So Jetty Columbia River","So Jetty Columbia River"
"SO JETTY COLUMBIA RIVER","So Jetty Columbia River"
"So Jetty Columbia River Biotoxins","So Jetty Columbia River Biotoxins"
"So Jetty-Umpqua River","So Jetty-Umpqua River"
"SO JETTY-UMPQUA RIVER","So Jetty-Umpqua River"
"South Slough","South Slough"
"South Slough/Coos Bay","South Slough/Coos Bay"
"SOUTH SLOUGH/COOS BAY","South Slough/Coos Bay"
"Sparrow Park Biotoxins","Sparrow Park Biotoxins"
"Tillamook Bay","Tillamook Bay"
"TILLAMOOK BAY","Tillamook Bay"
"Tillamook Bay - Hanging","Tillamook Bay - Hanging"
"TILLAMOOK BAY - HANGING","Tillamook Bay - Hanging"
"Tillamook County Area","Tillamook County Area"
"TILLAMOOK COUNTY AREA","Tillamook County Area"
"Umpqua River and Winchester Bay Bay Waters","Umpqua River And Winchester Bay Bay Waters"
"Upper Coos","Upper Coos"
"Waldport @ Beach","Waldport @ Beach"
"WALDPORT @ BEACH","Waldport @ Beach"
"Waldport Biotoxins","Waldport Biotoxins"
"Whiskey Run/Mid Coos Biotoxins","Whiskey Run/Mid Coos Biotoxins"
"Whiskey Run/Mid Coos Co Bchs","Whiskey Run/Mid Coos Co Bchs"
"WHISKEY RUN/MID COOS CO BCHS","Whiskey Run/Mid Coos Co Bchs"
"Yachats River","Yachats River"
"YACHATS RIVER","Yachats River"
"Yachats River Biotoxins","Yachats River Biotoxins"
"Yaquina Bay","Yaquina Bay"
"YAQUINA BAY","Yaquina Bay"
